qid	qwid	qcid	#upvotes	#ans	#tqans	qtag_0	qtag_1	qtag_2	qtag_3	qtag_4	qtag_5	qtag_6	qtag_7	qtag_8	qtag_9	qtag_10	qtag_11	qtag_12	qtag_13	qtag_14	qtag_15	qtag_16	qtag_17	qtag_18	qtag_19	#upvotes/#ans	#tqans/#ans
c1c0075239841777d5b01c40b38135d2	-0.69217341613788907	-1.297232249781493	-0.173259183597	-0.182465673583	-0.15670694991	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.147217271714	1.02514565737
367edcb36424493a7cf80f70903a64cd	-1.1722937399590145	1.0264217435183711	-0.159305552422	-0.161481061521	-0.15670694991	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.146027992601	-0.0998205172221
fb9e401d86f20205d97a25f3aad76a67	0.8651124869964657	0.070328254106431468	-0.149737348188	-0.187711826598	-0.15670694991	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0939090684929	1.58762874466
e153659c6c654cd12122232fca89f4bc	-1.297356304237131	0.99430933343960015	-0.161099590716	-0.156234908505	-0.0549793829877	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.167353929426	0.667201874544
c1718491292fd44b9b33397d5e6a80ba	0.99017505127458216	1.4301817795754508	-0.180435336773	-0.198204132629	-0.224525327858	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.101132706076	1.58762874466
85f22d70bd58c56708e9c3b2769ff6ff	0.93749458755469073	-0.12405886823706186	-0.151332048893	-0.182465673583	-0.15670694991	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0163086063549	1.02514565737
3461879e8b67f1f9e08882f7f1fd3db1	-1.5500512115114076	-0.68110214173680816	0.175980270956	-0.114265684382	0.182384939831	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.570497024709	0.877123792291
58695dc8b407850d8a028cec784f535c	0.024794846196244533	0.13027141958680385	-0.191598241713	-0.192957979614	-0.224525327858	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.275808075832	0.743904113721
39b402c90bda0ba4b5fe125ac865b442	-1.2198346462428191	1.1728543334775665	-0.152727412011	-0.182465673583	-0.15670694991	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00590241411411	1.02514565737
8304fb2d94318d4768acf96acc707489	-1.6352822056598499	-1.5053206670919286	-0.157710851716	-0.114265684382	0.114566561883	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.215366094584	0.521871316104
045d63aa705af89970233ea0f4855f44	-0.23218302560810444	1.0422638658238981	-0.192395592066	-0.203450285644	-0.258434516832	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.26911838082	1.58762874466
f2d99c82fae25aa23e30d8811b6453a3	1.4420278091972292	-0.97482365259063286	-0.064022185255	-0.145742602475	-0.190616138884	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.146328832484	-0.748839464102
eabbd463e598c2665532339f039eeee8	-1.0759270380323835	0.53831311032105311	-0.186415464419	-0.203450285644	-0.258434516832	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.135324480582	1.58762874466
d5d0ac13c7792fcca7811f640d5aaf48	1.7174224284808899	-0.51283311292404854	-0.182030037479	-0.20869643866	-0.292343705806	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.225919050061	1.58762874466
37c19aa072ef1ae70f45b25657059f22	-1.5145026059118059	0.66761908157157068	-0.168674419068	-0.161481061521	-0.190616138884	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.187950081342	-0.437310369599
049bcb65090445c586b74b5f14c30f84	0.69764857387063162	1.223806024135883	-0.137976430483	-0.156234908505	-0.122797760936	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.0732927631985	0.0535839611312
223077279b754599d41994dab0673ef6	-0.99840538003807167	-1.4963291922698727	-0.190003541007	-0.20869643866	-0.292343705806	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.130864683907	1.58762874466
a0c6cff489ecb7a1cb91ecc41c3967b5	0.045353075940592451	0.63122501681563026	-0.190003541007	-0.198204132629	-0.292343705806	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.243846199664	-0.662303604518
12ec0c518ce58df1a37c9d0295f74e25	1.0779758241410682	-0.037141278290521891	-0.181432024714	-0.187711826598	-0.15670694991	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.189734000012	1.58762874466
27fd339c55c79ae3eaf45e2d610c4c9b	0.84455425725211775	1.6661009522874879	-0.190202878595	-0.182465673583	-0.190616138884	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.273578177494	0.462662570073
b701b6c75280cda4dab3ddd7cc34c86e	-1.2712302206036887	-0.39037778915700205	-0.186216126831	-0.130004143428	-0.190616138884	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.279152923338	-0.943545148165
ceea516da5ea891db8c426d16cb4f3d8	-1.5547624724944873	0.47794177937296373	-0.192395592066	-0.198204132629	-0.258434516832	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.27952457306	0.462662570073
addd35f2aa6ba98af38edec82ddba724	1.0377159575583867	-0.27605760927657758	-0.179239311244	-0.192957979614	-0.258434516832	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.137554378919	-0.0998205172221
e0507f951f3d34c7f694b4055e5f093a	1.3820663057762144	0.34392598797755974	-0.0947201738402	0.26345733273	0.114566561883	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.251622255404	-1.30514141857
c7fe86dbfc4b7c5d30f36d80f8c26373	0.34259081432762278	0.38032005273350011	1.3644309719	1.01365721394	0.284112506753	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00236917459006	-1.52766220036
ba07e2ba9e9d31008843376593672638	-0.4287710975384314	-0.92258746552916548	-0.192594929654	-0.20869643866	-0.292343705806	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.246819397447	1.58762874466
8332c2886b58bc0ddf76ac1fb037a7ba	-0.48059496835230847	-0.27905476755059616	-0.17405653395	-0.145742602475	-0.15670694991	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.232410823575	-0.48923188535
8ef816b4a565087c3467c670a2a24ea7	1.6818738228812882	0.038215844027660546	-0.136381729777	-0.109019531366	-0.122797760936	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.171894813313	-0.774800221977
f92a82ede7e3a3cdce86b2099f218f05	0.47579101121287698	0.65862760674951482	-0.0853513071941	0.163780425437	0.148475750857	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.232944474459	-1.1310395106
78591d2d51706a90ca6fa5935d25cdfd	-0.26815992766071328	-1.1203999116143943	-0.16628236801	-0.145742602475	-0.0888885719618	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.205652043527	0.0299832721538
5a6d76c5506b58e775da14d30596fd69	-1.0763553344853909	-0.44903645823422361	-0.0785738291948	0.179518884483	0.0806573729088	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.231596624797	-1.2472860153
